infusion,     p8,     Faulty_Prop8-ROR-1-1-ROR-6-6,     false,    0,    TRUE_FOR_MAX_STEPS,     3,     96.02,     95.314,     73.799,     21.515,     15,     15,     4.919,     1.434,     p1 = ((((Highest_Level_Alarm >= 4) xor System_On) xor ((Highest_Level_Alarm = 4) xor (Highest_Level_Alarm <= 4))) => ((not (Current_System_Mode > 3)) and (Current_System_Mode = 0)));,     
infusion,     p8,     Faulty_Prop8-LOR-3-3-ROR-3-8,     false,    2,    TRUE_FOR_MAX_STEPS,     3,     68.364,     67.931,     46.727,     21.204,     13,     13,     3.594,     1.631,     p1 = ((System_On and (Highest_Level_Alarm = 2)) or ((false xor (Current_System_Mode <= 5)) xor ((Current_System_Mode >= 5) xor (Current_System_Mode > 8))));,     
infusion,     p8,     Faulty_Prop8-ROR-1-1-LOR-5-7,     false,    0,    TRUE_FOR_MAX_STEPS,     4,     48.462,     47.632,     21.992,     25.64,     17,     17,     1.293,     1.508,     p1 = (((false xor System_On) => ((Highest_Level_Alarm >= 2) xor false)) => ((not (Current_System_Mode <= 8)) xor (not (Current_System_Mode = 4))));,     
infusion,     p8,     Faulty_Prop8-LOR-1--1-LOR-4-7,     false,    0,    TRUE_FOR_MAX_STEPS,     5,     128.923,     127.96,     34.911,     93.049,     19,     19,     1.837,     4.897,     p1 = (((false xor System_On) => ((Highest_Level_Alarm > 2) and (Highest_Level_Alarm <= 4))) => ((Current_System_Mode >= 8) xor (not (Current_System_Mode = 4))));,     
infusion,     p8,     Faulty_Prop8-LOR-2-0-ROR-6-9,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     20.164,     19.981,     6.738,     13.243,     10,     10,     0.673,     1.324,     p1 = ((System_On => false) => ((not (Current_System_Mode = 3)) and (Current_System_Mode <= 0)));,     
infusion,     p8,     Faulty_Prop8-ROR-1-6-ROR-7-10,     false,    0,    TRUE_FOR_MAX_STEPS,     5,     41.884,     41.423,     24.488,     16.935,     14,     14,     1.749,     1.209,     p1 = ((false xor ((not System_On) and (not System_On))) => ((not (Current_System_Mode > 3)) and (not (Current_System_Mode > 0))));,     
infusion,     p8,     Faulty_Prop8-LOR-6-7-ROR-6-7,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     9.888,     9.789,     3.718,     6.071,     4,     4,     0.929,     1.517,     p1 = ((System_On and (Highest_Level_Alarm = 2)) => ((not (Current_System_Mode >= 3)) xor (Current_System_Mode = 8)));,     
infusion,     p8,     Faulty_Prop8-LOR-4-6-ROR-4-11,     false,    0,    TRUE_FOR_MAX_STEPS,     2,     8.826,     8.756,     2.813,     5.943,     4,     4,     0.703,     1.485,     p1 = ((System_On and (Highest_Level_Alarm = 2)) => ((Current_System_Mode > 8) => (not (Current_System_Mode > 4))));,     
infusion,     p8,     Faulty_Prop8-LOR-2-1-ROR-6-13,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     25.001,     24.763,     9.484,     15.279,     10,     10,     0.948,     1.527,     p1 = ((System_On xor (Highest_Level_Alarm <= 3)) => ((not (Current_System_Mode = 3)) and (Current_System_Mode >= 0)));,     
infusion,     p9,     Faulty_Prop9-ROR-3--1-ROR-3-12,     false,    3,    TRUE_FOR_MAX_STEPS,     4,     67.039,     66.304,     46.687,     19.617,     11,     11,     4.244,     1.783,     p1 = ((System_On and (Highest_Level_Alarm < 4)) => (((Current_System_Mode <= 3) xor ((Current_System_Mode = 8) xor (Current_System_Mode = 7))) xor (((Current_System_Mode = 4) xor (Current_System_Mode <= 1)) and ((Current_System_Mode >= 1) xor (Current_System_Mode < 2)))));,     
infusion,     p9,     Faulty_Prop9-LOR-5-7-LOR-7-9,     false,    0,    TRUE_FOR_MAX_STEPS,     2,     40.955,     40.849,     3.819,     37.03,     5,     5,     0.763,     7.406,     p1 = ((System_On and (Highest_Level_Alarm = 4)) => (((Current_System_Mode >= 0) xor (Current_System_Mode = 6)) => (Current_System_Mode = 1)));,     
infusion,     p9,     Faulty_Prop9-LOR-1-3-ROR-5-8,     false,    0,    TRUE_FOR_MAX_STEPS,     3,     76.561,     75.712,     51.98,     23.732,     16,     16,     3.248,     1.483,     p1 = (((not (not System_On)) xor false) or (((Current_System_Mode < 1) or (Current_System_Mode = 6)) or (Current_System_Mode = 7)));,     
infusion,     p9,     Faulty_Prop9-ROR-3-3-ROR-3-18,     false,    3,    TRUE_FOR_MAX_STEPS,     4,     286.524,     285.453,     261.603,     23.85,     11,     11,     23.782,     2.168,     p1 = ((System_On and (Highest_Level_Alarm <> 4)) => ((((Current_System_Mode = 4) xor (Current_System_Mode > 8)) xor ((Current_System_Mode >= 1) xor (Current_System_Mode >= 7))) xor (false xor ((Current_System_Mode >= 4) xor false))));,     
infusion,     p9,     Faulty_Prop9-LOR-2-0-LOR-5-7,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     18.903,     18.744,     6.336,     12.408,     9,     9,     0.704,     1.378,     p1 = ((System_On => false) => (((Current_System_Mode <= 0) xor (Current_System_Mode = 6)) or (Current_System_Mode = 7)));,     
infusion,     p9,     Faulty_Prop9-ROR-1--1-ROR-1-18,     false,    2,    TRUE_FOR_MAX_STEPS,     3,     21.003,     20.789,     7.353,     13.436,     9,     9,     0.817,     1.492,     p1 = ((((not System_On) and (not System_On)) or (System_On xor (Highest_Level_Alarm = 3))) => (((Current_System_Mode = 1) or (Current_System_Mode = 6)) or (Current_System_Mode <> 7)));,     
infusion,     p9,     Faulty_Prop9-ROR-1-4-ROR-7-5,     false,    0,    TRUE_FOR_MAX_STEPS,     2,     96.327,     95.852,     76.953,     18.899,     12,     12,     6.412,     1.574,     p1 = (((false xor System_On) xor false) => (((Current_System_Mode > 1) or (Current_System_Mode = 6)) or (Current_System_Mode > 0)));,     
infusion,     p9,     Faulty_Prop9-LOR-1-9-ROR-4-17,     false,    2,    TRUE_FOR_MAX_STEPS,     6,     116.545,     113.82,     80.672,     33.148,     21,     21,     3.841,     1.578,     p1 = ((System_On => (Highest_Level_Alarm > 2)) => ((true xor ((Current_System_Mode >= 2) => (Current_System_Mode >= 6))) => (Current_System_Mode >= 7)));,     
infusion,     p9,     Faulty_Prop9-LOR-1-1-ROR-1-14,     false,    2,    TRUE_FOR_MAX_STEPS,     2,     62.107,     61.724,     19.4,     42.324,     12,     12,     1.616,     3.527,     p1 = (((System_On xor false) => ((Highest_Level_Alarm > 3) xor (Highest_Level_Alarm > 4))) => (((Current_System_Mode = 1) or (Current_System_Mode = 6)) or (Current_System_Mode < 7)));,     
infusion,     p9,     Faulty_Prop9-LOR-2-10-ROR-4-4,     false,    2,    TRUE_FOR_MAX_STEPS,     8,     91.396,     89.872,     50.514,     39.358,     24,     24,     2.104,     1.639,     p1 = ((System_On and (Highest_Level_Alarm < 3)) => ((((Current_System_Mode = 8) or (Current_System_Mode < 5)) xor ((Current_System_Mode = 7) or (Current_System_Mode < 1))) xor (Current_System_Mode = 7)));,     
infusion,     p9,     Faulty_Prop9-LOR-2-0-ROR-4-6,     false,    2,    TRUE_FOR_MAX_STEPS,     1,     22.626,     22.272,     8.447,     13.825,     10,     10,     0.844,     1.382,     p1 = ((System_On => false) => ((not (Current_System_Mode > 0)) or (Current_System_Mode = 7)));,     
infusion,     p9,     Faulty_Prop9-LOR-2-4-ROR-3-8,     false,    3,    MINIMAL_EXISTS_UKNOWN,     3,     670.277,     667.188,     634.1,     33.088,     16,     16,     39.631,     2.068,     p1 = ((System_On and false) xor (((false xor (Current_System_Mode >= 5)) xor (Current_System_Mode <= 5)) and ((Current_System_Mode <= 8) or (Current_System_Mode = 4))));,     
infusion,     p9,     Faulty_Prop9-ROR-2-3-ROR-7-10,     false,    0,    TRUE_FOR_MAX_STEPS,     4,     14.208,     14.091,     4.724,     9.367,     7,     7,     0.674,     1.338,     p1 = ((System_On and (Highest_Level_Alarm >= 4)) => (((Current_System_Mode = 1) or (Current_System_Mode <= 6)) or (Current_System_Mode = 8)));,     
infusion,     p9,     Faulty_Prop9-LOR-2--1-ROR-5-11,     false,    0,    TRUE_FOR_MAX_STEPS,     2,     23.295,     23.098,     7.848,     15.25,     10,     10,     0.784,     1.525,     p1 = ((System_On or false) => (((Current_System_Mode > 0) or (Current_System_Mode > 6)) or (Current_System_Mode = 7)));,     
infusion,     p9,     Faulty_Prop9-LOR-2-5-ROR-4-16,     false,    2,    TRUE_FOR_MAX_STEPS,     6,     76.741,     75.955,     46.794,     29.161,     16,     16,     2.924,     1.822,     p1 = ((System_On and (Highest_Level_Alarm < 3)) => (((false xor (Current_System_Mode <= 0)) xor ((Current_System_Mode <= 4) xor false)) or (Current_System_Mode > 7)));,     
infusion,     p9,     Faulty_Prop9-LOR-2-9-ROR-5-8,     false,    0,    TRUE_FOR_MAX_STEPS,     2,     17.504,     17.372,     5.646,     11.726,     6,     6,     0.941,     1.954,     p1 = ((System_On and (Highest_Level_Alarm > 4)) => (((Current_System_Mode > 8) or (Current_System_Mode = 6)) => (Current_System_Mode = 7)));,     
infusion,     p9,     Faulty_Prop9-LOR-7-7-ROR-7-10,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     19.401,     19.353,     1.407,     17.946,     2,     2,     0.703,     8.973,     p1 = ((System_On and (Highest_Level_Alarm = 4)) => (((Current_System_Mode = 1) xor (Current_System_Mode <= 6)) or (Current_System_Mode < 6)));,     
infusion,     p9,     Faulty_Prop9-ROR-6-11-ROR-6-16,     false,    0,    TRUE_FOR_MAX_STEPS,     2,     6.613,     6.541,     2.109,     4.432,     3,     3,     0.703,     1.477,     p1 = ((System_On and (Highest_Level_Alarm = 4)) => (((Current_System_Mode = 1) or (Current_System_Mode = 6)) or (Current_System_Mode > 7)));,     
